Type,Cause,Material,Collapse,Status,Country,Region,Date,temperature_1.9,temperature_1.9.1,temperature_4.5,temperature_7.0,temperature_8.5,cluster
Truss,Design error,Steel,Total,Operational,USA,North America,2011,0.9702,0.92231,0.94214,0.934685,0.94214,1
Truss,Overloading,Steel,Total,Operational,United Kingdom,Europe,1891,-0.33001,-0.469445,-0.7224,-0.62027,-0.68551,1
Truss,Collision events,Steel,Total,Operational,USA,North America,1979,0.44279,0.40311,0.32108,0.371145,0.28981,1
Beam,Flood,Steel,Partial,Operational,USA,North America,2008,0.89089,0.94784,1.05239,0.909405,0.92133,0
Truss,Design error,Steel,Total,Operational,USA,North America,1996,0.55915,0.558975,0.56673,0.540565,0.5588,1
Beam,Flood,Reinforced concrete,Total,Out of service,Uganda,Africa,2024,1.33595,1.43295,1.52473,1.290915,1.36572,0
Truss,Overloading,Steel,Total,Operational,Ecuador,South America,2007,0.71594,0.853215,0.87193,0.931825,0.87193,1
Beam,Collision events,Reinforced concrete,Partial,Operational,USA,North America,2012,1.07535,0.996955,1.07535,1.07661,1.07535,0
Suspension,Overloading,Reinforced concrete,Total,Operational,USA,North America,2000,0.83988,0.802125,0.73152,0.690955,0.73152,0
Beam,Design error,Reinforced concrete,Partial,Operational,Ireland,Europe,2009,1.59433,1.28474,1.42639,1.54335,1.32232,0
Beam,Flood,Wood,Total,Operational,USA,North America,1904,-0.11564,-0.27308,-0.26469,-0.215155,-0.25318,0
Truss,Collision events,Steel,Total,Operational,USA,North America,1942,0.21729,0.22004,0.24359,0.21817,0.22279,1
Truss,Construction deficiencies,Composite,Total,Operational,Norway,Europe,2022,2.10535,1.802205,1.87587,2.01131,1.80477,1
Arch,Collision events,Steel,Total,Operational,Germany,Europe,1947,-0.05347,-0.065825,0.11378,-0.04279,0.08386,0
Suspension,Construction deficiencies,Steel,Total,Construction,USA,North America,1892,-0.12252,-0.131075,-0.12252,-0.10773,-0.12252,1
Truss,Overloading,Steel,Partial,Operational,USA,North America,2013,0.94489,1.04729,1.12986,1.090345,1.12986,1
Truss,Overloading,Steel,Total,Operational,USA,North America,1876,0.10499,0.0575,0.08905,0.048575,0.08905,1
Suspension,Design error,Steel,Total,Operational,USA,North America,1854,0.08016,0.10009,0.09115,0.094595,0.09115,1
