N,Fecha colapso,Nombre,Tipo de Puente,Causa principal,Material,Colapso,Estado,Pais
1,1945,Ludendorff,Armadura,Ataque terrorista,Acero,Total,Servicio,Alemania
2,2012,Rio Beaver,Trestle,Ataque terrorista,"Madera, Hormig�n armado, acero",Total,Servicio,Canada
3,2024,Red,Viga,Ataque terrorista,Hormig�n armado,Total,Servicio,Canada
4,1997,La Granja,No definido,Ataque terrorista,Hormig�n armado,Total,Servicio,Colombia
5,1997,La Conguta,No definido,Ataque terrorista,No definido,Parcial,Servicio,Colombia
6,1997,No nombre,No definido,Ataque terrorista,No definido,Parcial,Servicio,Colombia
7,1997,Villartega,No definido,Ataque terrorista,No definido,Parcial,Servicio,Colombia
8,"Diciembre, 1998",Viao,No definido,Ataque terrorista,No definido,Parcial,Servicio,Colombia
9,"Abril, 1999",Tasido,No definido,Ataque terrorista,Hormig�n armado,Total,Servicio,Colombia
10,"Abril, 2000",El Caminito,No definido,Ataque terrorista,Acero,Parcial,Servicio,Colombia
11,"Abril, 2000",Costa Rica,No definido,Ataque terrorista,No definido,Parcial,Servicio,Colombia
12,"Marzo, 2000",Cubugon,No definido,Ataque terrorista,Hormig�n armado,Parcial,Servicio,Colombia
13,"Abril, 2000",La Honda,No definido,Ataque terrorista,Hormig�n armado,Total,Servicio,Colombia
14,"Mayo, 2000",Ponton Cuchuca,No definido,Ataque terrorista,No definido,Parcial,Servicio,Colombia
15,"Julio, 2000",Ponton,No definido,Ataque terrorista,No definido,Parcial,Servicio,Colombia
16,"Junio, 2000",Colorado,No definido,Ataque terrorista,No definido,Parcial,Servicio,Colombia
17,"Septiembre, 2000",Ponton Tolima,No definido,Ataque terrorista,Acero,Parcial,Servicio,Colombia
18,"Junio, 2001",Rio Negro,No definido,Ataque terrorista,Hormig�n armado,Parcial,Servicio,Colombia
19,"Agosto, 2000",Penjamo,No definido,Ataque terrorista,Hormig�n armado,Parcial,Servicio,Colombia
20,"Noviembre, 2000",Molino Viejo,No definido,Ataque terrorista,No definido,Parcial,Servicio,Colombia
21,"Febrero, 2001",El Mango,No definido,Ataque terrorista,No definido,Parcial,Servicio,Colombia
22,"Febrero, 2001",Paso a desnivel,No definido,Ataque terrorista,No definido,Parcial,Servicio,Colombia
23,"Febrero, 2001",El Caminito,No definido,Ataque terrorista,Acero,Parcial,Servicio,Colombia
24,1984,Cuscatl�n,Suspension,Ataque terrorista,Hormig�n armado,Total,Servicio,El Salvador
25,2002,Rafiganj,Armadura,Ataque terrorista,No definido,Total,Servicio,India
26,2015,Kudzum,No definido,Ataque terrorista,Hormig�n armado,Total,Servicio,Nigeria
27,2014,Dilichim,No definido,Ataque terrorista,No definido,Total,Servicio,Nigeria
28,2015,Mubi,No definido,Ataque terrorista,No definido,Total,Servicio,Nigeria
29,2014,Biu Highway,No definido,Ataque terrorista,No definido,Total,Servicio,Nigeria
30,2014,Gwoza Bama,No definido,Ataque terrorista,No definido,Total,Servicio,Nigeria
31,2014,Nbulu river,No definido,Ataque terrorista,No definido,Total,Servicio,Nigeria
32,2014,Katarko,No definido,Ataque terrorista,Hormig�n armado,Total,Servicio,Nigeria
33,1970,Britannia,Viga,Ataque terrorista,No definido,Total,Servicio,Reino Unido
34,1992,Staples Corner,No definido,Ataque terrorista,No definido,Parcial,Servicio,Reino Unido
35,1905,Egyptian,Suspension,Ataque terrorista,Piedra,Total,Servicio,Rusia
36,No date,Sin nombre,Suspension,Ataque terrorista,Acero,Parcial,Servicio,Turquia
37,No date,Sin nombre,Armadura,Ataque terrorista,Acero,Total,Servicio,Turquia
38,No date,Sin nombre,Armadura,Ataque terrorista,Acero,Total,Servicio,Turquia
39,No date,Sin nombre,Armadura,Ataque terrorista,Acero,Total,Servicio,Turquia
40,No date,Sin nombre,Armadura,Ataque terrorista,Acero,Total,Servicio,Turquia
41,1861,Missouri,No definido,Ataque terrorista,No definido,Parcial,Servicio,USA
42,1966,Heiligenstedten,Atirantado,Colision,Hormig�n armado,Total,Servicio,Alemania
43,1998,Eschede,No definido,Colision,No definido,Total,Servicio,Alemania
44,2015,Friesenbr�cke,Armadura,Colision,Acero,Total,Servicio,Alemania
45,1837,Donaustauf,No definido,Colision,No definido,Parcial,Servicio,Alemania
46,1869,Hammer,Armadura,Colision,Acero,Parcial,Servicio,Alemania
47,1908,Herrenbr�cke,Colgante,Colision,Madera,Parcial,Servicio,Alemania
48,1947,Bremen,No definido,Colision,No definido,Total,Servicio,Alemania
49,1979,Over A2,Viga,Colision,Hormig�n armado,Total,Servicio,Alemania
50,1979,Over A3,Viga,Colision,Hormig�n armado,Total,Servicio,Alemania
51,1979,Over A1,Viga,Colision,Hormig�n armado,Parcial,Servicio,Alemania
52,1980,Dortmund-Ems,Suspension,Colision,Hormig�n armado,Total,Servicio,Alemania
53,1981,Mittl. Ring,Viga,Colision,Hormig�n armado,Total,Servicio,Alemania
54,1998,Eschede,Viga,Colision,Hormig�n armado,Total,Servicio,Alemania
55,1999,Wuppertal Schwebebahn,Armadura,Colision,Acero,Parcial,Servicio,Alemania
56,1825,Nienburg Bridge,Atirantado,Colision,Hormig�n armado,Total,Servicio,Alemania
57,1942,Stubenrauch Bridge,Armadura,Colision,Acero,Parcial,Servicio,Alemania
58,1945,Oder bridge,Armadura,Colision,Acero,Total,Servicio,Alemania
59,1945,Laasan Bridge,Arco,Colision,Acero,Total,Servicio,Alemania
60,1947,Freeman Bridge,Arco,Colision,Acero,Total,Servicio,Alemania
61,2005,Kattwykbr�cke,Arco,Colision,Acero,Parcial,Servicio,Alemania
62,1975,Tasman,Viga,Colision,Hormig�n armado,Total,Servicio,Australia
63,1977,Granville,Sobrepaso,Colision,Hormig�n armado,Total,Servicio,Australia
64,1975,Tasman,Viga,Colision,Hormig�n armado,Parcial,Servicio,Australia
65,1938,Tasman Bridge,Viga,Colision,Acero,Parcial,Servicio,Australia
66,1977,Granville Bridge,Atirantado,Colision,Acero,Total,Servicio,Australia
67,1974,Luttre,Armadura,Colision,Hormig�n armado,Parcial,Servicio,Belgica
68,2007,Highway 325,Viga,Colision,Hormig�n armado,Parcial,Servicio,China
69,2008,Jintang,Atirantado,Colision,Hormig�n armado,Parcial,Construccion,China
70,2011,Chengdu Kunming,Viga,Colision,Hormig�n armado,Total,Servicio,China
71,2024,Lixinsha,Viga,Colision,Hormig�n armado,Parcial,Servicio,China
72,2007,Foshan,Viga,Colision,Hormig�n armado,Parcial,Servicio,China
73,"Mayo, 1993",El Limon,No definido,Colision,Hormig�n armado,Total,Servicio,Colombia
74,"Noviembre, 1994",San Luis,No definido,Colision,Acero,Total,Servicio,Colombia
75,"Junio, 1994",Avirama,No definido,Colision,No definido,Total,Servicio,Colombia
76,"Junio, 1994",Itaibe,No definido,Colision,No definido,Total,Servicio,Colombia
77,"Junio, 1994",Juntas,No definido,Colision,No definido,Total,Servicio,Colombia
78,"Junio, 1994",Naranjal,No definido,Colision,Hormig�n armado,Total,Servicio,Colombia
79,"Junio, 1994",Nolasco,No definido,Colision,No definido,Total,Servicio,Colombia
80,"Junio, 1994",Moras,No definido,Colision,Hormig�n armado,Total,Servicio,Colombia
81,"Junio, 1994",Cohentando,No definido,Colision,No definido,Total,Servicio,Colombia
82,"Junio, 1994",Ricaurte,No definido,Colision,Madera,Total,Servicio,Colombia
83,"Junio, 1994",Simbola,No definido,Colision,No definido,Total,Servicio,Colombia
84,"Junio, 1994",Capri,No definido,Colision,Hormig�n armado,Total,Servicio,Colombia
85,"Junio, 1994",La Troja,No definido,Colision,Hormig�n armado,Total,Servicio,Colombia
86,"Junio, 1994",Itaibe,No definido,Colision,No definido,Total,Servicio,Colombia
87,"Junio, 1994",Nolasco,No definido,Colision,No definido,Total,Servicio,Colombia
88,1997,Matanzas,No definido,Colision,Acero,Total,Servicio,Colombia
89,2012,Limfjord,Viga,Colision,Acero,Parcial,Servicio,Dinamarca
90,1935,Copenhagen,Armadura,Colision,Acero,Parcial,Servicio,Dinamarca
91,1947,Great Belt Fixed Link,Viga,Colision,Hormig�n armado,Parcial,Servicio,Dinamarca
92,1938,Ferdan Bridge,Viga,Colision,Hormig�n armado,Parcial,Servicio,Egipto
93,2010,Laajasalo,Viga,Colision,Hormig�n armado,Total,Servicio,Finlandia
94,1907,Ponts de C�,Armadura,Colision,Acero,Parcial,Servicio,Francia
95,1977,Beki,Armadura,Colision,Acero,Total,Servicio,India
96,2002,Rafiganj Rail Bridge,Atirantado,Colision,Acero,Total,Servicio,India
97,2003,Cahir,Armadura,Colision,Acero,Total,Servicio,Irlanda
98,2017,Ramat Elhanan,No definido,Colision,Hormig�n armado,Parcial,Servicio,Israel
99,2006,Nimule,No definido,Colision,No definido,Total,Servicio,Kenia
100,1963,Kristiansund,Viga,Colision,Hormig�n armado,Parcial,Servicio,Noruega
101,2000,Chagres,Viga,Colision,No definido,Parcial,Servicio,Panama
102,1999,Rio Chiriqu�,Suspension,Colision,Acero,Total,Servicio,Panama
103,1952,Harrow and Wealdstone,No definido,Colision,No definido,Total,Servicio,Reino Unido
104,1957,St. Johns station,Armadura,Colision,Acero,Total,Servicio,Reino Unido
105,1960,Severn,Arco,Colision,Hierro Fundido,Total,Servicio,Reino Unido
106,1922,Sheppey,Viga,Colision,No definido,Parcial,Servicio,Reino Unido
107,1957,St John�s,Viga,Colision,Hormig�n armado,Parcial,Servicio,Reino Unido
108,1975,M62,Suspension,Colision,Hormig�n armado,Total,Servicio,Reino Unido
109,2005,Codsall,Suspension,Colision,"Madera, acero",Total,Servicio,Reino Unido
110,2011,Severn Railway Bridge,Armadura,Colision,Acero,Parcial,Servicio,Reino Unido
