N°,Date,Name,Type,Cause,Material,Collapse,Status,Country,Region,Sub-region,,,,,
1,1945,Ludendorff,Truss,Terrorism,Steel,Total,Operational,Germany,Europe,Western and Central Europe ,,,,,
2,2012,Rio Beaver,Trestle,Terrorism,Composite ,Total,Operational,Canada,North America,Canada Ontario/ Canada British Columbia/ Canada Prairies/ Canada Québec/ Canada Western Arctic/ Canada Eastern Arctic/ Canada Atlantic,,,,,
3,2024,Red,Beam,Terrorism,Reinforced concrete,Total,Operational,Canada,North America,Canada Ontario/ Canada British Columbia/ Canada Prairies/ Canada Québec/ Canada Western Arctic/ Canada Eastern Arctic/ Canada Atlantic,,,,,
4,1997,La Granja,Not defined,Terrorism,Reinforced concrete,Total,Operational,Colombia,Central /SouthAmerica,North‑West South America,,,,,
5,1997,La Conguta,Not defined,Terrorism,Not defined,Partial,Operational,Colombia,Central /SouthAmerica,North‑West South America,,,,,
6,1997,no definido,Not defined,Terrorism,Not defined,Partial,Operational,Colombia,Central /SouthAmerica,North‑West South America,,,,,
7,1997,Villartega,Not defined,Terrorism,Not defined,Partial,Operational,Colombia,Central /SouthAmerica,North‑West South America,,,,,
8,1998,Viao,Not defined,Terrorism,Not defined,Partial,Operational,Colombia,Central /SouthAmerica,North‑West South America,,,,,
9,1999,Tasido,Not defined,Terrorism,Reinforced concrete,Total,Operational,Colombia,Central /SouthAmerica,North‑West South America,,,,,
10,2000,El Caminito,Not defined,Terrorism,Steel,Partial,Operational,Colombia,Central /SouthAmerica,North‑West South America,,,,,
11,2000,Costa Rica,Not defined,Terrorism,Not defined,Partial,Operational,Colombia,Central /SouthAmerica,North‑West South America,,,,,
12,2000,Cubugon,Not defined,Terrorism,Reinforced concrete,Partial,Operational,Colombia,Central /SouthAmerica,North‑West South America,,,,,
13,2000,La Honda,Not defined,Terrorism,Reinforced concrete,Total,Operational,Colombia,Central /SouthAmerica,North‑West South America,,,,,
14,2000,Ponton Cuchuca,Not defined,Terrorism,Not defined,Partial,Operational,Colombia,Central /SouthAmerica,North‑West South America,,,,,
15,2000,Ponton,Not defined,Terrorism,Not defined,Partial,Operational,Colombia,Central /SouthAmerica,North‑West South America,,,,,
16,2000,Colorado,Not defined,Terrorism,Not defined,Partial,Operational,Colombia,Central /SouthAmerica,North‑West South America,,,,,
17,2000,Ponton Tolima,Not defined,Terrorism,Steel,Partial,Operational,Colombia,Central /SouthAmerica,North‑West South America,,,,,
18,2001,Rio Negro,Not defined,Terrorism,Reinforced concrete,Partial,Operational,Colombia,Central /SouthAmerica,North‑West South America,,,,,
19,2000,Penjamo,Not defined,Terrorism,Reinforced concrete,Partial,Operational,Colombia,Central /SouthAmerica,North‑West South America,,,,,
20,2000,Molino Viejo,Not defined,Terrorism,Not defined,Partial,Operational,Colombia,Central /SouthAmerica,North‑West South America,,,,,
21,2001,El Mango,Not defined,Terrorism,Not defined,Partial,Operational,Colombia,Central /SouthAmerica,North‑West South America,,,,,
22,2001,Paso a desnivel,Not defined,Terrorism,Not defined,Partial,Operational,Colombia,Central /SouthAmerica,North‑West South America,,,,,
23,2001,El Caminito,Not defined,Terrorism,Steel,Partial,Operational,Colombia,Central /SouthAmerica,North‑West South America,,,,,
24,1984,Cuscatlán,Suspension,Terrorism,Reinforced concrete,Total,Operational,El Salvador,Central /SouthAmerica,Central America,,,,,
25,2002,Rafiganj,Truss,Terrorism,Not defined,Total,Operational,India,Asia,South Asia,,,,,
26,2015,Kudzum,Not defined,Terrorism,Reinforced concrete,Total,Operational,Nigeria,Africa,Western Africa,,,,,
27,2014,Dilichim,Not defined,Terrorism,Not defined,Total,Operational,Nigeria,Africa,Western Africa,,,,,
28,2015,Mubi,Not defined,Terrorism,Not defined,Total,Operational,Nigeria,Africa,Western Africa,,,,,
29,2014,Biu Highway,Not defined,Terrorism,Not defined,Total,Operational,Nigeria,Africa,Western Africa,,,,,
30,2014,Gwoza Bama,Not defined,Terrorism,Not defined,Total,Operational,Nigeria,Africa,Western Africa,,,,,
31,2014,Nbulu river,Not defined,Terrorism,Not defined,Total,Operational,Nigeria,Africa,Western Africa,,,,,
32,2014,Katarko,Not defined,Terrorism,Reinforced concrete,Total,Operational,Nigeria,Africa,Western Africa,,,,,
33,1970,Britannia,Beam,Terrorism,Not defined,Total,Operational,United Kingdom,Europe,Northern Europe,,,,,
34,1992,Staples Corner,Not defined,Terrorism,Not defined,Partial,Operational,United Kingdom,Europe,Northern Europe,,,,,
35,1905,Egyptian,Suspension,Terrorism,Rock,Total,Operational,Russia,Europe,North Asia/ Eastern Europe,,,,,
36,No date,no definido,Suspension,Terrorism,Steel,Partial,Operational,Turkye,Europe/Asia,Western Asia/ Eastern Europe ,,,,,
37,No date,no definido,Truss,Terrorism,Steel,Total,Operational,Turkye,Europe/Asia,Western Asia/ Eastern Europe ,,,,,
38,No date,no definido,Truss,Terrorism,Steel,Total,Operational,Turkye,Europe/Asia,Western Asia/ Eastern Europe ,,,,,
39,No date,no definido,Truss,Terrorism,Steel,Total,Operational,Turkye,Europe/Asia,Western Asia/ Eastern Europe ,,,,,
40,No date,no definido,Truss,Terrorism,Steel,Total,Operational,Turkye,Europe/Asia,Western Asia/ Eastern Europe ,,,,,
41,1861,Missouri,Not defined,Terrorism,Not defined,Partial,Operational,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
42,1966,Heiligenstedten,Beam,Collision events,Reinforced concrete,Total,Operational,Germany,Europe,Western and Central Europe ,,,,,
43,1998,Eschede,Not defined,Collision events,Not defined,Total,Operational,Germany,Europe,Western and Central Europe ,,,,,
44,2015,Friesenbrücke,Truss,Collision events,Steel,Total,Operational,Germany,Europe,Western and Central Europe ,,,,,
45,1837,Donaustauf,Not defined,Collision events,Not defined,Partial,Operational,Germany,Europe,Western and Central Europe ,,,,,
46,1869,Hammer,Truss,Collision events,Steel,Partial,Operational,Germany,Europe,Western and Central Europe ,,,,,
47,1908,Herrenbrücke,Suspension,Collision events,Wood,Partial,Operational,Germany,Europe,Western and Central Europe ,,,,,
48,1947,Bremen,Not defined,Collision events,Not defined,Total,Operational,Germany,Europe,Western and Central Europe ,,,,,
49,1979,Over A2,Beam,Collision events,Reinforced concrete,Total,Operational,Germany,Europe,Western and Central Europe ,,,,,
50,1979,Over A3,Beam,Collision events,Reinforced concrete,Total,Operational,Germany,Europe,Western and Central Europe ,,,,,
51,1979,Over A1,Beam,Collision events,Reinforced concrete,Partial,Operational,Germany,Europe,Western and Central Europe ,,,,,
52,1980,Dortmund-Ems,Suspension,Collision events,Reinforced concrete,Total,Operational,Germany,Europe,Western and Central Europe ,,,,,
53,1981,Mittl. Ring,Beam,Collision events,Reinforced concrete,Total,Operational,Germany,Europe,Western and Central Europe ,,,,,
54,1998,Eschede,Beam,Collision events,Reinforced concrete,Total,Operational,Germany,Europe,Western and Central Europe ,,,,,
55,1999,Wuppertal Schwebebahn,Truss,Collision events,Steel,Partial,Operational,Germany,Europe,Western and Central Europe ,,,,,
56,1825,Nienburg Bridge,Beam,Collision events,Reinforced concrete,Total,Operational,Germany,Europe,Western and Central Europe ,,,,,
57,1942,Stubenrauch Bridge,Truss,Collision events,Steel,Partial,Operational,Germany,Europe,Western and Central Europe ,,,,,
58,1945,Oder bridge,Truss,Collision events,Steel,Total,Operational,Germany,Europe,Western and Central Europe ,,,,,
59,1945,Laasan Bridge,Arch,Collision events,Steel,Total,Operational,Germany,Europe,Western and Central Europe ,,,,,
60,1947,Freeman Bridge,Arch,Collision events,Steel,Total,Operational,Germany,Europe,Western and Central Europe ,,,,,
61,2005,Kattwykbrücke,Arch,Collision events,Steel,Partial,Operational,Germany,Europe,Western and Central Europe ,,,,,
62,2007,Gosford ,Slab,Collision events,Reinforced concrete,Total,Operational,Australia,Australasia,Northern Australia/ Central Australia/ Southern Australia/ Eastern Australia ,,,,,
63,1975,Tasman,Beam,Collision events,Reinforced concrete,Total,Operational,Australia,Australasia,Northern Australia/ Central Australia/ Southern Australia/ Eastern Australia ,,,,,
64,1977,Granville,Over pass,Collision events,Reinforced concrete,Total,Operational,Australia,Australasia,Northern Australia/ Central Australia/ Southern Australia/ Eastern Australia ,,,,,
65,1975,Tasman,Beam,Collision events,Reinforced concrete,Partial,Operational,Australia,Australasia,Northern Australia/ Central Australia/ Southern Australia/ Eastern Australia ,,,,,
66,1938,Tasman Bridge,Beam,Collision events,Steel,Partial,Operational,Australia,Australasia,Northern Australia/ Central Australia/ Southern Australia/ Eastern Australia ,,,,,
67,1977,Granville Bridge,Beam,Collision events,Steel,Total,Operational,Australia,Australasia,Northern Australia/ Central Australia/ Southern Australia/ Eastern Australia ,,,,,
68,1974,Luttre,Truss,Collision events,Reinforced concrete,Partial,Operational,Belgium,Europe,Western and Central Europe ,,,,,
69,2007,Highway 325,Beam,Collision events,Reinforced concrete,Partial,Operational,China,Asia,East Asia ,,,,,
70,2008,Jintang,Beam,Collision events,Reinforced concrete,Partial,Construction,China,Asia,East Asia ,,,,,
71,2011,Chengdu Kunming,Beam,Collision events,Reinforced concrete,Total,Operational,China,Asia,East Asia ,,,,,
72,2024,Lixinsha,Beam,Collision events,Reinforced concrete,Partial,Operational,China,Asia,East Asia ,,,,,
73,2007,Foshan,Beam,Collision events,Reinforced concrete,Partial,Operational,China,Asia,East Asia ,,,,,
74,1993,El Limon,Not defined,Collision events,Reinforced concrete,Total,Operational,Colombia,Central /SouthAmerica,North‑West South America,,,,,
75,1994,San Luis,Not defined,Collision events,Steel,Total,Operational,Colombia,Central /SouthAmerica,North‑West South America,,,,,
76,1994,Avirama,Not defined,Collision events,Not defined,Total,Operational,Colombia,Central /SouthAmerica,North‑West South America,,,,,
77,1994,Itaibe,Not defined,Collision events,Not defined,Total,Operational,Colombia,Central /SouthAmerica,North‑West South America,,,,,
78,1994,Juntas,Not defined,Collision events,Not defined,Total,Operational,Colombia,Central /SouthAmerica,North‑West South America,,,,,
79,1994,Naranjal,Not defined,Collision events,Reinforced concrete,Total,Operational,Colombia,Central /SouthAmerica,North‑West South America,,,,,
