N�,Date,Name,Type,Cause,Material,Collapse,Status,Country,Region,Sub-region,SSP1-1.9,SSP1-1.9,SSP2-4.5,SSP3-7.0,SSP5-8.5
1,1945,Ludendorff,Truss,Terrorism,Steel,Total,Operational,Germany,Europe,West& Central-Europe ,-0.27856,-0.02144,-0.02468,0.08276,-0.02468
2,2012,Rio Beaver,Trestle,Terrorism,Composite,Total,Operational,Canada,North America,N.W.North America,1.58241,1.72676,1.92925,1.75697,1.971835
3,2024,Red,Beam,Terrorism,Reinforced concrete,Total,Operational,Canada,North America,N.W.North America,2.58803,2.722245,3.03332,2.2742,2.57836
4,1997,La Granja,Not defined,Terrorism,Reinforced concrete,Total,Operational,Colombia,Central America,N.W.South America,0.50321,0.59091,0.5656,0.534405,0.50321
5,1997,La Conguta,Not defined,Terrorism,Not defined,Partial,Operational,Colombia,Central America,N.W.South America,0.50321,0.59091,0.5656,0.534405,0.50321
6,1997,no definido,Not defined,Terrorism,Not defined,Partial,Operational,Colombia,Central America,N.W.South America,0.50321,0.59091,0.5656,0.534405,0.50321
7,1997,Villartega,Not defined,Terrorism,Not defined,Partial,Operational,Colombia,Central America,N.W.South America,0.50321,0.59091,0.5656,0.534405,0.50321
8,1998,Viao,Not defined,Terrorism,Not defined,Partial,Operational,Colombia,Central America,N.W.South America,0.70043,0.684275,0.70043,0.684275,0.69677
9,1999,Tasido,Not defined,Terrorism,Reinforced concrete,Total,Operational,Colombia,Central America,N.W.South America,0.8345,0.589575,0.58011,0.56352,0.54693
10,2000,El Caminito,Not defined,Terrorism,Steel,Partial,Operational,Colombia,Central America,N.W.South America,0.93974,0.800825,0.76489,0.81013,0.76489
11,2000,Costa Rica,Not defined,Terrorism,Not defined,Partial,Operational,Colombia,Central America,N.W.South America,0.93974,0.800825,0.76489,0.81013,0.76489
12,2000,Cubugon,Not defined,Terrorism,Reinforced concrete,Partial,Operational,Colombia,Central America,N.W.South America,0.93974,0.800825,0.76489,0.81013,0.76489
13,2000,La Honda,Not defined,Terrorism,Reinforced concrete,Total,Operational,Colombia,Central America,N.W.South America,0.93974,0.800825,0.76489,0.81013,0.76489
